rank,tier,archive_entry,date,type,title,surviving_sources,source_status,full_recording_exists,archive_has_only_fragment,historical_value,loss_risk,recommended_action
99,A2,2010-08-03-video-01,2010-08-03,video,【女流】魔术师之梦（The Illusionist's Dream）解说,v.youku.com/v_show/id_XMTk0ODI1MDEy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
100,A2,2010-09-09-video-01,2010-09-09,video,萝卜白菜，各有所爱,v.youku.com/v_show/id_XMjA0OTMwOTk2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
101,A2,2010-09-19-video-01,2010-09-19,video,【女流】爱丽丝之死全系列解说,v.youku.com/v_show/id_XMjA3NjU0NDE2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
102,A2,2010-10-05-video-01,2010-10-05,video,【女流】不择手段【唤醒盒子2】试玩,v.youku.com/v_show/id_XMjExOTQ1NDY4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
103,A2,2010-12-02-video-01,2010-12-02,video,【特别剪辑】纪念那些没能跟大家见面的小游戏录像,v.youku.com/v_show/id_XMjI2NzA4Njc2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
104,A2,2012-05-20-video-01,2012-05-20,video,【女流】我来小填个坑儿【安琪拉之歌】全剧情流程3（Boss4）,v.youku.com/v_show/id_XMzk5NjE3NjI0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
105,A2,2012-05-24-video-01,2012-05-24,video,【hyun310＆女流】安琪拉之歌全剧情流程解说4（3宝物）,v.youku.com/v_show/id_XNDAxNzU1MzE2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
106,A2,2012-05-31-video-01,2012-05-31,video,【女流】儿童节送小羊回家,v.youku.com/v_show/id_XNDA1NzE4OTA0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
107,A2,2012-08-26-video-01,2012-08-26,video,【女流】唤醒盒子4试玩解说,v.youku.com/v_show/id_XNDQzNTY0MDky.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
108,A2,2013-07-16-video-01,2013-07-16,video,【女流】大叔的末日骑行,v.youku.com/v_show/id_XNTgzNzcxNTcy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
109,A2,2013-08-29-video-01,2013-08-29,video,【女流】拆！系列拆键盘攻略解说,v.youku.com/v_show/id_XNjAyNTgwODU2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
110,A2,2013-09-13-video-01,2013-09-13,video,【女流】Journey 风之旅人全流程赏析Part 1,v.youku.com/v_show/id_XNjA4NDc0Mzg0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
111,A2,2013-09-25-video-01,2013-09-25,video,【女流】Journey 风之旅人全流程赏析Part 2,v.youku.com/v_show/id_XNjEzMjI2ODI0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
112,A2,2013-09-30-video-01,2013-09-30,video,【女流】Journey 风之旅人全流程赏析Part 3大结局,v.youku.com/v_show/id_XNjE1Mzg2OTMy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
113,A2,2013-10-18-video-01,2013-10-18,video,【女流】自从玩了小游戏，妈妈再也不用担心我的厨艺（误）！,v.youku.com/v_show/id_XNjIzMTYxMTY0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
114,A2,2013-10-20-video-01,2013-10-20,video,【女流】小游戏实况：小红球闯关RedBall4,v.youku.com/v_show/id_XNjIzNzgwNzUy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
115,A2,2013-11-02-video-01,2013-11-02,video,【女流】Enough Plumbers 2很多马里奥试玩解说,v.youku.com/v_show/id_XNjI5Mjk1NDgw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
116,A2,2013-11-09-video-01,2013-11-09,video,【女流】不可信的肉眼：Naya's Quest试玩解说,v.youku.com/v_show/id_XNjMyMzc3Nzg0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
117,A2,2013-11-18-video-01,2013-11-18,video,【女流】被这款游戏彻底打败了,v.youku.com/v_show/id_XNjM2NDM4NDY0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
118,A2,2013-11-22-video-01,2013-11-22,video,【女流】又送小羊回家Home Sheep Home 2,v.youku.com/v_show/id_XNjM4Mjc3ODg4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
119,A2,2013-11-30-video-01,2013-11-30,video,【女流】遇上话痨就要开外挂【危险的蝎子】The Scorpion Box解说,v.youku.com/v_show/id_XNjQxNzMxNzMy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
120,A2,2013-12-09-video-01,2013-12-09,video,【女流】下海做贼难自弃-the very organized thief解说,v.youku.com/v_show/id_XNjQ1OTY2MTI0.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
121,A2,2013-12-13-video-01,2013-12-13,video,【女流】关于救赎Persist【坚持】解说,v.youku.com/v_show/id_XNjQ3NjI5MjYw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
122,A2,2013-12-19-video-01,2013-12-19,video,【女流】圣诞夜跑酷SANTA RUN 2试玩解说,v.youku.com/v_show/id_XNjUwNDcyMTQw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
123,A2,2014-01-06-video-01,2014-01-06,video,【女流】玩了这个整个人都不好了The Impossible Quiz 2,v.youku.com/v_show/id_XNjU4MzM5MTM2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
124,A2,2014-01-23-video-01,2014-01-23,video,【女流】世界名画知多少？Famous Painting Parodies 2 解说,v.youku.com/v_show/id_XNjY1MTkwOTAw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
125,A2,2014-02-25-video-01,2014-02-25,video,【女流】被玩坏了的FLAPPY BIRD,v.youku.com/v_show/id_XNjc3Njk1NTE2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
126,A2,2014-07-27-video-01,2014-07-27,video,【女流】CSonline机甲斗兽模式试玩解说,v.youku.com/v_show/id_XNzQ3MDE3OTcy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
127,A2,2014-09-10-video-01,2014-09-10,video,【女流】安琪拉之歌全剧情流程Part5,v.youku.com/v_show/id_XNzc4NTY1ODM2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
128,A2,2014-09-12-video-01,2014-09-12,video,【女流】升职加薪也是分分钟的事儿[Corporate Climber]解说,v.youku.com/v_show/id_XNzgwNDUzMDYw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
129,A2,2014-09-19-video-01,2014-09-19,video,[游戏新作]奇幻大陆的勇士Phoenitopia试玩Part1,v.youku.com/v_show/id_XNzg1ODQ4ODIw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
130,A2,2014-10-09-video-01,2014-10-09,video,【女流】不玩也爱看：挑战RAP植物大战僵尸,v.youku.com/v_show/id_XODAwMDQwMTg4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
131,A2,2014-10-17-video-01,2014-10-17,video,【不玩也爱看】女流：愤怒的小鸟背后感人至深的秘密,v.youku.com/v_show/id_XODA1MTQyMDE2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
132,A2,2014-10-24-video-01,2014-10-24,video,[女流]我的世界漂流记-不玩也爱看,v.youku.com/v_show/id_XODEwMzQyNDYw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
133,A2,2014-11-02-video-01,2014-11-02,video,【不玩也爱看】女流给这个游戏跪了,v.youku.com/v_show/id_XODE2OTgzMTI4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
134,A2,2014-11-08-video-01,2014-11-08,video,[不玩也爱看]还原魂斗罗剧情 年代记实况part1,v.youku.com/v_show/id_XODIyNTU3MzU2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
135,A2,2014-11-14-video-01,2014-11-14,video,【女流】不玩也爱看第10期：忍者神龟大挑战 年代记Part 2,v.youku.com/v_show/id_XODI2Njg3MzIw.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
136,A2,2014-11-21-video-01,2014-11-21,video,【优质电玩】*光之子*全剧情流程解说Part1,v.youku.com/v_show/id_XODMxODY5ODEy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
137,A2,2014-11-26-video-01,2014-11-26,video,《不玩也爱看》第14期：女流解说光之子全剧情流程Part2,v.youku.com/v_show/id_XODM1Mjg4MTA4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
138,A2,2014-11-26-video-02,2014-11-26,video,【女流】Perdition*灭亡*试玩解说,v.youku.com/v_show/id_XODM1MTMyMTM2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
139,A2,2014-12-01-video-01,2014-12-01,video,【女流】谋杀篡位之后的安稳生活,v.youku.com/v_show/id_XODM5MTgyNjM2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
140,A2,2014-12-06-video-01,2014-12-06,video,【女流】光之子全剧情解说Part4,v.youku.com/v_show/id_XODQyNzY5NzQ4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
141,A2,2014-12-08-video-01,2014-12-08,video,【萨曼莎赢了】那些根本走不出的伤痛,v.youku.com/v_show/id_XODQ0MTA5OTQ4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
142,A2,2014-12-10-video-01,2014-12-10,video,【女流】光之子全剧情流程Part 3,v.youku.com/v_show/id_XODQ1Nzc5NjA4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
143,A2,2014-12-14-video-01,2014-12-14,video,权力斗争下的童话世界---光之子全流程Part5,v.youku.com/v_show/id_XODQ4NDkzNTQ4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
144,A2,2014-12-16-video-01,2014-12-16,video,【女流】光之子全剧情流程解说Part6,v.youku.com/v_show/id_XODUwMDAwODcy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
145,A2,2014-12-16-video-02,2014-12-16,video,【女流】黑客是怎样炼成的[Mu Complex]解说,v.youku.com/v_show/id_XODQ5NzYyMjMy.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
146,A2,2014-12-24-video-01,2014-12-24,video,【女流】圣诞斗元首,v.youku.com/v_show/id_XODU1ODQ2MTky.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
147,A2,2014-12-25-video-01,2014-12-25,video,【女流】光之子全剧情流程解说大结局,v.youku.com/v_show/id_XODU2Mzg1NDE2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,她最早的原创视频（2010～2014 优酷时代）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
148,A2,2015-01-09-video-01,2015-01-09,video,【女流】小小大星球试玩解说,v.youku.com/v_show/id_XODcxODczNjI4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
149,A2,2015-01-18-video-01,2015-01-18,video,【女流】小小大星球3探索之旅,v.youku.com/v_show/id_XODc3MTM3Nzc2.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
150,A2,2015-01-22-live-01,2015-01-22,live,女流的小游戏时间,acfun.cn/v/ac1694027（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
151,A2,2015-01-23-video-01,2015-01-23,video,【女流】大金刚热带雨林勇斗马达加斯加企鹅,v.youku.com/v_show/id_XODc4ODM0NDY4.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
152,A2,2015-01-23-live-01,2015-01-23,live,女流之萌音加节奏,acfun.cn/v/ac1696480（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
153,A2,2015-01-30-live-01,2015-01-30,live,直播标题已遗失,v.youku.com/v_show/id_XODgzNzgxNzky.html（replay/alive）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
154,A2,2015-02-02-live-01,2015-02-02,live,女流的第一千次死亡,acfun.cn/v/ac1719337（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
155,A2,2015-02-10-live-01,2015-02-10,live,女流又来直播跳舞了,acfun.cn/v/ac1762715（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
156,A2,2015-03-25-live-01,2015-03-25,live,港版PS4开箱,acfun.cn/v/ac1816049（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
157,A2,2015-06-26-live-01,2015-06-26,live,蝙蝠侠：阿卡姆骑士（开局）,acfun.cn/v/ac2007546（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
158,A2,2015-06-27-live-01,2015-06-27,live,蝙蝠侠：阿卡姆骑士,bilibili.com/video/BV1vZ4y1c7ND（replay/alive）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩单个非官方搬运：找第二个镜像
159,A2,2015-06-29-live-01,2015-06-29,live,逃脱方块：哈维的盒子,acfun.cn/v/ac1996935（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
160,A2,2015-07-04-live-01,2015-07-04,live,鱼塘星音乐 第三轮第三场 女流&超级小桀,acfun.cn/v/ac2012193（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
161,A2,2015-07-06-live-01,2015-07-06,live,造完飞机去找狗,acfun.cn/v/ac2010055（clip/alive）,只有片段,否,是,斗鱼首年（2015）,高,只有片段：完整录像只可能在失效网盘或私人存档，列入征集
162,A2,2015-07-28-live-01,2015-07-28,live,第一届女流杯建筑大赛,v.youku.com/v_show/id_XMTI5NzY4MjU4NA==.html（replay/alive/youku-official）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
163,A2,2015-08-04-live-01,2015-08-04,live,科隆游戏展 微软发布会,acfun.cn/v/ac2074580（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
164,A2,2015-08-12-live-01,2015-08-12,live,物理满分 不服来辩 Poly Bridge,acfun.cn/v/ac2095682（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
165,A2,2015-08-18-video-01,2015-08-18,video,【女流】HER STORY ★她的故事★全剧情流程赏析Part 2,v.youku.com/v_show/id_XMTMxMjc1NDcwNA==.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
166,A2,2015-09-07-video-01,2015-09-07,video,【女流】HER STORY ★她的故事★全剧情流程赏析Part 4（完结）,v.youku.com/v_show/id_XMTMyOTg0NjgxNg==.html（original/alive）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
167,A2,2015-09-09-live-02,2015-09-09,live,锈湖：磨坊、橙光小游戏,acfun.cn/v/ac2188498（replay/alive）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
168,A2,2015-10-09-live-01,2015-10-09,live,第五届女流杯建筑大赛,v.youku.com/v_show/id_XMTM2NTYxODQ2MA==.html（replay/alive/youku-official）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
169,A2,2015-11-16-live-01,2015-11-16,live,女流贴吧歌友会,acfun.cn/v/ac2368861（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
170,A2,2015-11-25-live-01,2015-11-25,live,古墓丽影10：崛起,acfun.cn/v/ac2353769（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
171,A2,2015-12-07-live-01,2015-12-07,live,《节奏天国》治好多年颈椎病,v.youku.com/v_show/id_XMTQwNzczOTk2MA==.html（replay/alive/youku-official）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只在她本人优酷号：优酷已对首作加密、随时可能下架——给页面做 Wayback 存档，在 B站/A站 找搬运镜像，元数据已入库
172,A2,2015-12-24-live-01,2015-12-24,live,MC圣诞建筑大赛（女流作品打分视角）,acfun.cn/v/ac2434832（replay/alive/acfun-douyu-recordhall）,只剩一个易失来源,是（仅单一来源）,否,斗鱼首年（2015）,高,只剩 A站：找 B站 镜像
173,B1,2016-01-06-live-01,2016-01-06,live,来吧来吧撸一棵树,—,无任何公开来源,否,—,斗鱼早期（2016～2017）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
174,B1,2016-01-07-live-01,2016-01-07,live,Besiege 12月更新版,—,无任何公开来源,否,—,斗鱼早期（2016～2017）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
175,B1,2016-01-08-live-01,2016-01-08,live,逆转裁判,—,无任何公开来源,否,—,斗鱼早期（2016～2017）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
176,B1,2016-01-12-live-01,2016-01-12,live,Poly Bridge,—,无任何公开来源,否,—,斗鱼早期（2016～2017）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
177,B1,2016-01-19-live-01,2016-01-19,live,Poly Bridge 最终关,—,无任何公开来源,否,—,斗鱼早期（2016～2017）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
178,B1,2016-01-22-live-01,2016-01-22,live,Slime Rancher,—,无任何公开来源,否,—,斗鱼早期（2016～2017）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
179,B1,2016-01-26-live-01,2016-01-26,live,Poly Bridge,—,无任何公开来源,否,—,斗鱼早期（2016～2017）,已失,无公开录像：网盘与征集线索见 lost-recordings-inventory.csv；不再在已枚举的账号里重复找
